feature,dtype,missing,unique_values,zero_values,zero_percent
step,int32,0,743,0,0.0
type,category,0,5,0,0.0
amount,float32,0,5236933,16,0.000251468734577894
oldbalanceOrg,float32,0,1834373,2102449,33.04376184653492
newbalanceOrig,float32,0,2663280,3609566,56.73081214971191
oldbalanceDest,float32,0,3532215,2704388,42.50431426047761
newbalanceDest,float32,0,3474507,2439433,38.34007059984723
amount_log,float32,0,3733104,16,0.000251468734577894
is_high_value,int8,0,2,6298993,98.99998742656328
is_zero_amount,int8,0,2,6362604,99.99974853126542
is_transfer,int8,0,2,5829711,91.62437800780182
is_cash_out,int8,0,2,4125120,64.83366914887263
is_payment,int8,0,2,4211125,66.18539218120837
is_cash_in,int8,0,2,4963336,78.00773895030663
is_debit,int8,0,2,6321188,99.34882171181054
origin_balance_change,float32,0,2711170,2089038,32.83298389657091
origin_balance_error,float32,0,4589139,446155,7.01212707972502
destination_balance_change,float32,0,3684981,2317293,36.420421147263234
destination_balance_error,float32,0,3135340,859856,13.514181264950603
abs_origin_balance_error,float32,0,4588317,446155,7.01212707972502
abs_destination_balance_error,float32,0,3124957,859856,13.514181264950603
hour_of_day,int32,0,24,71587,1.1251182688892312
day,int32,0,31,571039,8.974903420289127
