feature,absolute_correlation
origin_balance_change,0.3624717813620265
is_high_value,0.08301049745781033
amount,0.07668842885390106
destination_balance_error,0.05511958863741816
is_transfer,0.053868955687792416
abs_destination_balance_error,0.05384037238073618
is_zero_amount,0.04410919651380966
amount_log,0.04063986105015093
day,0.03257716099848149
step,0.03157756863269019
hour_of_day,0.031402644439068476
destination_balance_change,0.02702792306070544
is_payment,0.025697122897473043
is_cash_in,0.019088838048580154
origin_balance_error,0.011283456730537765
abs_origin_balance_error,0.011283456656247467
is_cash_out,0.0112556756857075
oldbalanceOrg,0.010154421857514799
newbalanceOrig,0.008148161258460292
oldbalanceDest,0.0058852782331066614
is_debit,0.0029105964341873524
newbalanceDest,0.0005353470784911628
