threshold,flagged_transactions,workload,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1,fraud_amount_captured,fraud_amount_recall
0.05,256969,0.2019364664242089,4241,252728,13,1015542,0.016503936272468663,0.9969440526563235,0.03247034143241598,6.6365174e+09,0.9927871
0.1,183265,0.14401693013255545,4236,179029,18,1089241,0.023114069789648868,0.995768688293371,0.04517942181858905,6.6304425e+09,0.9918784
0.15000000000000002,144609,0.11363950699554586,4209,140400,45,1127870,0.029106072236167874,0.9894217207334274,0.05654863868120352,6.62887e+09,0.99164313
0.2,118603,0.09320295727231864,4178,114425,76,1153845,0.0352267649216293,0.9821344616831218,0.06801403257445648,6.627033e+09,0.99136835
0.25,98054,0.07705473531344006,4123,93931,131,1174339,0.04204825912252432,0.9692054536906441,0.080599757594714,6.623659e+09,0.9908636
0.3,80006,0.06287189868324684,4071,75935,183,1192335,0.05088368372372072,0.9569816643159379,0.09662948018039401,6.6199526e+09,0.9903091
0.35000000000000003,66197,0.05202023694641516,4016,62181,238,1206089,0.06066740184600511,0.9440526563234602,0.11400831783792992,6.6159826e+09,0.9897152
0.4,55462,0.043584246741122365,3967,51495,287,1216775,0.07152645054271393,0.9325340855665256,0.1328622144818809,6.611289e+09,0.98901314
0.45,46389,0.03645432227604352,3916,42473,338,1225797,0.08441656427170234,0.92054536906441,0.15465118575123904,6.6069514e+09,0.9883642
0.5,38811,0.030499228305320765,3857,34954,397,1233316,0.0993790420241684,0.9066760695815703,0.1791245791245791,6.602186e+09,0.9876514
0.55,32565,0.025590872942278495,3804,28761,450,1239509,0.11681252878857669,0.8942172073342737,0.20663244520492136,6.594561e+09,0.9865107
0.6000000000000001,27542,0.021643599649201116,3734,23808,520,1244462,0.1355747585505773,0.8777621062529384,0.2348723109825135,6.5887744e+09,0.98564506
0.6500000000000001,23311,0.01831871147420402,3647,19664,607,1248606,0.15644974475569473,0.8573107663375646,0.26461091964447675,6.58164e+09,0.98457783
0.7000000000000001,19571,0.015379670638824887,3564,16007,690,1252263,0.18210617750753666,0.8377997179125529,0.2991815320041972,6.5740605e+09,0.9834439
0.7500000000000001,16372,0.012865769132841503,3471,12901,783,1255369,0.21200830686537991,0.8159379407616361,0.3365654998545525,6.5662633e+09,0.9822775
0.8,13519,0.010623768196120466,3369,10150,885,1258120,0.2492048228419262,0.7919605077574048,0.379114386991504,6.5505526e+09,0.97992724
0.8500000000000001,10831,0.008511430825666156,3248,7583,1006,1260687,0.2998799741482781,0.763516690173954,0.43062645011600925,6.53645e+09,0.9778176
0.9000000000000001,8416,0.006613627719398612,3102,5314,1152,1262956,0.3685836501901141,0.7291960507757405,0.48966061562746643,6.5154406e+09,0.9746747
0.9500000000000001,6005,0.0047189679723132925,2851,3154,1403,1265116,0.47477102414654454,0.6701927597555242,0.5558046593235207,6.4694856e+09,0.9678001
